WordnetID	count	Synsets	Definition
n00528667	7555	ballet,concert_dance	a theatrical representation of a story that is performed to music by trained dancers
n01230685	6040	rallying	the act of mobilizing for a common purpose
n03726760	56948	mast	a vertical spar for supporting sails
n02693246	4355	air_terminal,airport_terminal	a terminal that serves air travelers or air freight
n04081281	108861	restaurant,eating_house,eating_place,eatery	a building where people go to eat
n03480719	4423	halter,hackamore	rope or canvas headgear for a horse, with a rope for leading
n00608645	353402	lighting	the craft of providing artificial light
n04962784	204707	red,redness	red color or pigment; the chromatic color resembling the hue of blood
n00134780	3442	punch,clout,poke,lick,biff,slug	(boxing) a blow with the fist
n03621473	3417	kite	plaything consisting of a light frame covered with tissue paper; flown in wind at end of a string
n13163991	24186	branchlet,twig,sprig	a small branch or division of a branch (especially a terminal division); usually applied to branches of the current or preceding year
n04065272	4442	recreational_vehicle,RV,R.V.	a motorized wheeled vehicle used for camping or other recreational activities
n15165289	251752	morning,morn,morning_time,forenoon	the time period between dawn and noon
n03764276	5921	military_vehicle	vehicle used by the armed forces
n01639765	4882	frog,toad,toad_frog,anuran,batrachian,salientian	any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species
n01139194	30560	license,permission,permit	the act of giving a formal (usually written) authorization
n10317007	60302	military_officer,officer	any person in the armed services who holds a position of authority or command
n09335240	182187	land,ground,soil	material in the top layer of the surface of the earth in which plants can grow (especially with reference to its quality or use)
n09194357	13172	Alps,the_Alps	a large mountain system in south-central Europe; scenic beauty and winter sports make them a popular tourist attraction
n11517898	53371	afterglow	a glow sometimes seen in the sky after sunset
n01327322	16235	hybrid,crossbreed,cross	(genetics) an organism that is the offspring of genetically dissimilar parents or stock; especially offspring produced by breeding plants or animals of different varieties or breeds or species
n02159955	115605	insect	small air-breathing arthropod
n00503237	3602	chess,chess_game	a board game for two players who move their 16 pieces according to specific rules; the object is to checkmate the opponent's king
n00449054	12454	skateboarding	the sport of skating on a skateboard
n04507155	2915	umbrella	a lightweight handheld collapsible canopy
n00923444	16135	industry,manufacture	the organized action of making of goods and services for sale
n10129825	74916	girl,miss,missy,young_lady,young_woman,fille	a young woman
n06147873	21574	mythology	the study of myths
n02780916	25326	ball_field,baseball_field,diamond	the baseball playing field
n08521623	15494	cemetery,graveyard,burial_site,burial_ground,burying_ground,memorial_park,necropolis	a tract of land used for burials
n08436759	382273	vegetation,flora,botany	all the plant life in a particular region or period
n02761392	3471	automaton,robot,golem	a mechanism that can move automatically
n07695965	4453	sandwich	two (or more) slices of bread with a filling between them
n11879895	3070	rapeseed	seed of rape plants; source of an edible oil
n04574999	175892	wheel	a simple machine consisting of a circular frame with spokes (or a solid disc) that can rotate on a shaft or axle (as in vehicles or other machines)
n02438774	3001	Giraffidae,family_Giraffidae	giraffes
n09842629	53569	bassist	a musician who play the bass viol
n05121418	101310	number,figure	the property possessed by a sum or total or indefinite quantity of units or individuals
n07312616	9808	migration	the periodic passage of groups of animals (especially birds or fishes) from one region to another for feeding or breeding
n05314919	5160	eyelash,lash,cilium	any of the short curved hairs that grow from the edges of the eyelids
n02484473	3249	Old_World_monkey,catarrhine	of Africa or Arabia or Asia; having nonprehensile tails and nostrils close together
n03878066	132576	palace,castle	a large and stately mansion
n07397355	4253	thunder	a booming or crashing noise caused by air expanding along the path of a bolt of lightning
n07452074	33582	wedding,wedding_ceremony,nuptials,hymeneals	the social event at which the ceremony of marriage is performed
n01767661	41963	arthropod	invertebrate having jointed limbs and a segmented body with an exoskeleton made of chitin
n02690081	30858	airline,airline_business,airway	a commercial enterprise that provides scheduled flights for passengers
n10439851	59167	player,participant	a person who participates in or is skilled at some game
n03636649	6026	lamp	a piece of furniture holding one or more electric light bulbs
n04467665	4579	trailer_truck,tractor_trailer,trucking_rig,rig,articulated_lorry,semi	a truck consisting of a tractor and trailer together
n03196062	7981	digital_camera	a camera that encodes an image digitally and store it for later reproduction
n03028079	84705	church,church_building	a place for public (especially Christian) worship
n00034213	52984	phenomenon	any state or process known through the senses rather than by intuition or reasoning
n08067218	8596	aviation	the operation of aircraft to provide transportation
n03007130	68999	chapel	a place of worship that has its own altar
n07621388	3785	whipped_cream	cream that has been beaten until light and fluffy
n02733075	15886	arboretum,botanical_garden	a facility where trees and shrubs are cultivated for exhibition
n08615374	98420	park,commons,common,green	a piece of open land for recreational use in an urban area
n04078747	96400	reservoir,artificial_lake,man-made_lake	lake used to store water for community use
n09313716	2964	inlet,recess	an arm off of a larger body of water (often between rocky headlands)
n03876519	120036	painting,picture	graphic art consisting of an artistic composition made by applying paints to a surface
n00303849	3414	jump,parachuting	descent with a parachute
n03493333	36858	hardware,computer_hardware	(computer science) the mechanical, magnetic, electronic, and electrical components making up a computer system
n05546540	11482	neck,cervix	the part of an organism (human or animal) that connects the head to the rest of the body
n03791053	2709	motor_scooter,scooter	a wheeled vehicle with small wheels and a low-powered gasoline engine geared to the rear wheel
n11949217	2640	Chamaemelum,genus_Chamaemelum	small genus of plants sometimes included in genus Anthemis: chamomile
n01861778	391736	mammal,mammalian	any warm-blooded vertebrate having the skin more or less covered with hair; young are born alive except for the small subclass of monotremes and nourished with milk
n03791235	52223	motor_vehicle,automotive_vehicle	a self-propelled wheeled vehicle that does not run on rails
n01318894	174475	pet	a domesticated animal kept for companionship or amusement
n07993776	221988	wildlife	all living things (except people) that are undomesticated
n14638799	2782	gold,Au,atomic_number_79	a soft yellow malleable ductile (trivalent and univalent) metallic element; occurs mainly as nuggets in rocks and alluvial deposits; does not react with most chemicals but is attacked by chlorine and aqua regia
n00106272	12311	pitch,delivery	(baseball) the act of throwing a baseball by a pitcher to a batter
n02123045	7459	tabby,tabby_cat	a cat with a grey or tawny coat mottled with black
n03841666	7761	office,business_office	place of business where professional or clerical duties are performed
n03595614	14785	jersey,T-shirt,tee_shirt	a close-fitting pullover shirt
n03446070	5873	golf_club,golf-club,club	golf equipment used by a golfer to hit a golf ball
n03479952	14815	hallway,hall	an interior passage or corridor onto which rooms open
n01915811	13296	coral	marine colonial polyp characterized by a calcareous skeleton; masses in a variety of shapes often forming reefs
n06209770	220343	cityscape	a viewpoint toward a city or other heavily populated area
n03799710	60995	mural,wall_painting	a painting that is applied to a wall surface
n14761122	6614	caffeine,caffein	a bitter alkaloid found in coffee and tea that is responsible for their stimulating effects
n02782778	12510	ballpark,park	a facility in which ball games are played (especially baseball games)
n00302861	6814	acrobatics,aerobatics,stunting,stunt_flying	the performance of stunts while in flight in an aircraft
n02947212	35932	canal	long and narrow strip of water made for boats or for irrigation
n09889539	3217	cameraman,camera_operator,cinematographer	a photographer who operates a movie camera
n08376250	4430	chain,concatenation	a series of things depending on each other as if linked together
n00523513	628893	sport,athletics	an active diversion requiring physical exertion and competition
n07804323	2951	rice	grains used as food either unpolished or more often polished
n03151077	5339	curtain,drape,drapery,mantle,pall	hanging cloth used as a blind (especially for a window)
n06403969	41841	calligraphy,penmanship,chirography	beautiful handwriting
n02212062	3078	wasp	social or solitary hymenopterans typically having a slender body with the abdomen attached by a narrow stalk and having a formidable sting
n09172283	5150	Sahara,Sahara_Desert	the world's largest desert (3,500,000 square miles) in northern Africa
n11465888	20185	haze	atmospheric moisture or dust or smoke that causes reduced visibility
n03619890	7194	kitchen	a room equipped for preparing meals
n04457326	2374	torpedo_boat	small high-speed warship designed for torpedo attacks in coastal waters
n11545714	5974	fern	any of numerous flowerless and seedless vascular plants having true roots from a rhizome and fronds that uncurl upward; reproduce by spores
n06878071	74880	smile,smiling,grin,grinning	a facial expression characterized by turning up the corners of the mouth; usually shows pleasure or amusement
n03313333	340014	facade,frontage,frontal	the face or front of a building
n06696483	22237	award,accolade,honor,honour,laurels	a tangible symbol signifying approval or distinction
n04492749	3604	truss_bridge	a bridge supported by trusses
n03931044	365091	picture,image,icon,ikon	a visual representation (of an object or scene or person or abstraction) produced on a surface
n06267145	7650	newspaper,paper	a daily or weekly publication on folded sheets; contains news and articles and advertisements
n09475292	28724	waterfall,falls	a steep descent of the water of a river
n03221720	32781	door	a swinging or sliding barrier that will close the entrance to a room or building or vehicle
n04065464	3433	recreation_room,rec_room	a room equipped for informal entertaining
n02954340	15838	cap	a tight-fitting headdress
n12421467	2437	narcissus	bulbous plant having erect linear leaves and showy yellow or white flowers either solitary or in clusters
n07302836	14886	fire	the event of something burning (often destructive)
n03984381	9390	porch	a structure attached to the exterior of a building often forming a covered entrance
n09386842	44712	pass,mountain_pass,notch	the location in a range of mountains of a geological formation that is lower than the surrounding peaks
n07978170	2494	public_library	a nonprofit library maintained for public use
n09463226	17025	tundra	a vast treeless plain in the Arctic regions where the subsoil is permanently frozen
n03429288	3963	gauge,gage	a measuring instrument for measuring and indicating a quantity such as the thickness of wire or the amount of rain etc.
n03443371	7309	goblet	a drinking glass with a base and stem
n04590553	7428	windshield,windscreen	transparent screen (as of glass) to protect occupants of a vehicle
n03201638	13674	dinner_dress,dinner_gown,formal,evening_gown	a gown for evening wear
n03498781	7706	hatchback	a car having a hatchback door
n14845743	189271	water,H2O	binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent
n13883346	6205	rectangle	a parallelogram with four right angles
n10787470	73137	woman,adult_female	an adult female person (as opposed to a man)
n04333129	3291	strap	an elongated leather strip (or a strip of similar material) for binding things together or holding something in position
n03609235	13133	kayak	a small canoe consisting of a light frame made watertight with animal skins; used by Eskimos
n04248607	25193	snapshot,snap,shot	an informal photograph; usually made with a small hand-held camera
n05562249	18500	thigh	the part of the leg between the hip and the knee
n09257761	30767	cove	a small inlet
n03640288	7988	landscaping	a garden laid out for esthetic effect
n04524313	1505906	vehicle	a conveyance that transports people or objects
n11674914	8287	bud	a partially opened flower
n02734725	24248	architecture	an architectural product or work
n02001428	2566	Ciconiiformes,order_Ciconiiformes	order of chiefly tropical marsh-dwelling fish-eating wading birds with long legs and bills and (except for flamingos) unwebbed feet: herons; storks; spoonbills; flamingos; ibises
n07923748	4118	juice	the liquid part that can be extracted from plant or animal tissue by squeezing or cooking
n11960245	2365	dahlia,Dahlia_pinnata	any of several plants of or developed from the species Dahlia pinnata having tuberous roots and showy rayed variously colored flower heads; native to the mountains of Mexico and Central America and Colombia
n14858292	2780	litter	rubbish carelessly dropped or left about (especially in public places)
n07911677	6943	cocktail	a short mixed drink
n09274500	3598	estuary	the wide part of a river where it nears the sea; fresh and salt water mix
n07576438	18612	picnic	any informal meal eaten outside or on an excursion
n02606194	4419	Pomacentridae,family_Pomacentridae	damselfishes
n03467517	56641	guitar	a stringed instrument usually having six strings; played by strumming or plucking
n01604330	11027	bird_of_prey,raptor,raptorial_bird	any of numerous carnivorous birds that hunt and kill other animals
n08074421	137671	signage	signs collectively (especially commercial signs or posters)
n02355227	7231	squirrel	a kind of arboreal rodent having a long bushy tail
n00448958	2779	roller_skating	skating on wheels
n03511175	2651	hedge,hedgerow	a fence formed by a row of closely planted shrubs or bushes
n00445351	27115	rowing,row	the act of rowing as a sport
n04558578	9537	watercolor,water-color,watercolour,water-colour	a painting produced with watercolors
n03323593	124440	fashion	consumer goods (especially clothing) in the current mode
n03059528	4979	cobble,cobblestone,sett	rectangular paving stone with curved top; once used to make roads
n01530575	2694	brambling,Fringilla_montifringilla	Eurasian finch
n03745146	35735	menagerie,zoo,zoological_garden	the facility where wild animals are housed for exhibition
n02984061	63325	cathedral	any large and important church
n07457834	2558	championship	a competition at which a champion is chosen
n06568978	4412	program,programme,computer_program,computer_programme	(computer science) a sequence of instructions that a computer can interpret and execute
n02951843	3861	canopy	a covering (usually of cloth) that serves as a roof to shelter an area from the weather
n01613294	6210	eagle,bird_of_Jove	any of various large keen-sighted diurnal birds of prey noted for their broad wings and strong soaring flight
n07588947	3276	stew	food prepared by stewing especially meat or fish with vegetables
n13480848	11007	fire,flame,flaming	the process of combustion of inflammable materials producing heat and light and (often) smoke
n06478582	4138	diploma,sheepskin	a document certifying the successful completion of a course of study
n03624966	6098	knit,knitting,knitwork	needlework created by interlacing yarn in a series of connected loops using straight eyeless needles or by machine
n02836174	2776	bidet	a basin for washing genitals and anal area
n15273626	5277	sleep,nap	a period of time spent sleeping
n07210225	34789	protest,protestation	a formal and solemn declaration of objection
n03249569	59268	drum,membranophone,tympan	a musical percussion instrument; usually consists of a hollow cylinder with a membrane stretched across each end
n08645847	25099	savanna,savannah	a flat grassland in tropical or subtropical regions
n03783755	9562	monolith	a single great stone (often in the form of a column or obelisk)
n07657903	5691	steak	a slice of meat cut from the fleshy part of an animal or large fish
n01503061	138718	bird	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings
n02894605	9095	breakwater,groin,groyne,mole,bulwark,seawall,jetty	a protective structure of stone or concrete; extends from shore into the water to prevent a beach from washing away
n09874618	32138	bride	a woman who has recently been married
n08591592	126273	lawn	a field of cultivated and mowed grass
n00029378	123962	event	something that happens at a given place and time
n02487347	3276	macaque	short-tailed monkey of rocky regions of Asia and Africa
n07251779	5267	cheering,shouting	encouragement in the form of cheers from spectators
n13931436	15115	love_affair,romance	a relationship between two lovers
n15019030	122678	sand	a loose material consisting of grains of rock or coral
n02671780	62469	accessory,accoutrement,accouterment	clothing that is worn or carried, but not part of your main clothing
n07865484	2472	chow_mein	chop suey served with fried noodles
n03211789	10000	display_window,shop_window,shopwindow,show_window	a window of a store facing onto the street; used to display merchandise for sale in the store
n02970849	5265	cart	a heavy open wagon usually having two wheels and drawn by an animal
n11950345	3124	chrysanthemum	any of numerous perennial Old World herbs having showy brightly colored flower heads of the genera Chrysanthemum, Argyranthemum, Dendranthema, Tanacetum; widely cultivated
n10034020	2845	drill_master,drill_instructor	a noncommissioned officer who instructs recruits in military marching and discipline
n03095699	7337	container_ship,containership,container_vessel	a cargo ship designed to hold containerized cargoes
n14717275	4520	bronze	an alloy of copper and tin and sometimes other elements; also any copper-base alloy containing other elements in place of tin
n10619409	4189	socialite	a socially prominent person
n02206856	20368	bee	any of numerous hairy-bodied insects including social and solitary species
n04490091	28818	truck,motortruck	an automotive vehicle suitable for hauling
n07238694	71315	address,speech	the act of delivering a formal spoken communication to an audience
n03701640	8309	machinery	machines or machine systems collectively
n03472535	4923	gym_shoe,sneaker,tennis_shoe	a canvas shoe with a pliable rubber sole
n07370410	13808	climb,climbing,mounting	an event that involves rising to a higher point (as in altitude or temperature or intensity etc.)
n11841529	6303	Cactaceae,family_Cactaceae,cactus_family	constituting the order Opuntiales
n07707451	5472	vegetable,veggie,veg	edible seeds or roots or stems or leaves or bulbs or tubers or nonsweet fruits of any of numerous herbaceous plant
n05600637	120502	face,human_face	the front of the human head from the forehead to the chin and ear to ear
n05538625	150205	head,caput	the upper part of the human body or the front part of the body in animals; contains the face and brains
n02900160	3702	bridle	headgear for a horse; includes a headstall and bit and reins to give the rider or driver control
n13134947	62708	fruit	the ripened reproductive body of a seed plant
n07735510	8915	pumpkin	usually large pulpy deep-yellow round fruit of the squash family maturing in late summer or early autumn
n07609632	2520	truffle,chocolate_truffle	creamy chocolate candy
n02823428	5605	beer_bottle	a bottle that holds beer
n08254876	17370	wedding_reception	a reception for wedding guests held after the wedding
n05808794	2650	reading	the cognitive process of understanding a written linguistic message
n03062015	3445	cocktail_dress,sheath	a dress suitable for formal occasions
n10372373	26970	official,functionary	a worker who holds or is invested with an office
n07636271	4468	brownie	square or bar of very rich chocolate cake usually with nuts
n08223802	134736	community	a group of people living in a particular local area
n07628870	22002	cake	baked goods made from or based on a mixture of flour, sugar, eggs, and fat
n10448983	7806	policeman,police_officer,officer	a member of a police force
n05032565	47179	endurance	the power to withstand hardship or stress
n01539573	8069	sparrow,true_sparrow	any of several small dull-colored singing birds feeding on seeds or insects
n12788201	2575	hydrangea	any of various deciduous or evergreen shrubs of the genus Hydrangea
n03895866	12620	passenger_car,coach,carriage	a railcar where passengers ride
n04571292	6707	weight,free_weight,exercising_weight	sports equipment used in calisthenic exercises and weightlifting; it is not attached to anything and is raised and lowered by use of the hands and arms
n11925898	2513	marguerite,marguerite_daisy,Paris_daisy,Chrysanthemum_frutescens,Argyranthemum_frutescens	perennial subshrub of the Canary Islands having usually pale yellow daisylike flowers; often included in genus Chrysanthemum
n02912557	2983	buggy,roadster	a small lightweight carriage; drawn by a single horse
n01517565	4626	ratite,ratite_bird,flightless_bird	flightless birds having flat breastbones lacking a keel for attachment of flight muscles: ostriches; cassowaries; emus; moas; rheas; kiwis; elephant birds
n08570634	138771	hayfield,meadow	a field where grass or alfalfa are grown to be made into hay
n01536916	7327	Emberizidae,subfamily_Emberizidae,subfamily_Emberizinae	buntings and some New World sparrows
n12158148	3870	Cucurbita,genus_Cucurbita	type genus of the Cucurbitaceae
n01325417	10105	horn	one of the bony outgrowths on the heads of certain ungulates
n01106272	13787	freight,freightage	transporting goods commercially at rates cheaper than express rates
n01605630	4745	hawk	diurnal bird of prey typically having short rounded wings and a long tail
n06123363	341475	architecture	the discipline dealing with the principles of design and construction and ornamentation of fine buildings
n02411705	11321	sheep	woolly usually horned ruminant mammal related to the goat
n09397391	80187	pond,pool	a small lake
n13244109	175044	property,belongings,holding	something owned; any tangible or intangible possession that is owned by someone; 
n02913152	345688	building,edifice	a structure that has a roof and walls and stands more or less permanently in one place
n02729965	61501	appliance,contraption,contrivance,convenience,gadget,gizmo,gismo,widget	a device or control that is very useful for a particular job
n03519981	68427	highway,main_road	a major road for any form of motor transport
n02677136	16638	acrylic,acrylic_paint	used especially by artists
n00306102	12130	takeoff	a departure; especially of airplanes
n04285965	31063	sport_utility,sport_utility_vehicle,S.U.V.,SUV	a high-performance four-wheel drive car built on a truck chassis
n00136329	13486	kick,boot,kicking	the act of delivering a blow with the foot
n02815950	9365	beam	long thick piece of wood or metal or concrete, etc., used in construction
n11509570	21546	blizzard,snowstorm	a storm with widespread snowfall accompanied by strong winds
n00468480	66769	football,football_game	any of various games played with a ball (round or oval) in which two teams try to kick or carry or propel the ball into each other's goal
n04587404	4239	windmill,aerogenerator,wind_generator	generator that extracts usable energy from winds
n13944747	2724	congestion,over-crowding	excessive crowding
n00329468	2523	snowboarding	the act of sliding down a snow-covered slope while standing on a snowboard
n13054560	3261	bolete	any fungus of the family Boletaceae
n02897820	39357	brick	rectangular block of clay baked by the sun or in a kiln; used as a building or paving material
n07907943	28277	liqueur,cordial	strong highly flavored sweet liquor usually drunk after a meal
n14716997	3955	brass	an alloy of copper and zinc
n11944196	4401	thistle	any of numerous plants of the family Compositae and especially of the genera Carduus and Cirsium and Onopordum having prickly-edged leaves
n03769881	10597	minibus	a light bus (4 to 10 passengers)
n06794110	31526	street_sign	a sign visible from the street
n02867715	5105	bomber	a military aircraft that drops bombs during flight
n02715513	12945	anteroom,antechamber,entrance_hall,hall,foyer,lobby,vestibule	a large entrance or reception room or area
n02416519	9536	goat,caprine_animal	any of numerous agile ruminants related to sheep but having a beard and straight horns
n10793168	4184	wrestler,grappler,matman	combatant who tries to throw opponent to the ground
n09358907	7924	moraine	accumulated earth and stones deposited by a glacier
n08600992	12580	national_park	a tract of land declared by the national government to be public property
n03673450	3209	lingerie,intimate_apparel	women's underwear and nightclothes
n08428485	17100	parade	a ceremonial procession including people marching
n09474010	45712	wadi	gully or streambed in northern Africa and the Middle East that remains dry except during rainy season
n14024882	6132	sleep,slumber	a natural and periodic state of rest during which consciousness of the world is suspended
n00545501	159883	singing,vocalizing	the act of singing vocal music
n08186761	9441	bus_company,bus_service	a public utility providing local transportation
n04965661	274593	yellow,yellowness	yellow color or pigment; the chromatic color resembling the hue of sunflowers or ripe lemons
n15196186	37442	Christmas,Christmas_Day,Xmas,Dec_25	a Christian holiday celebrating the birth of Christ; a quarter day in England, Wales, and Ireland
n04389033	3489	tank,army_tank,armored_combat_vehicle,armoured_combat_vehicle	an enclosed armored military vehicle; has a cannon and moves on caterpillar treads
n04967191	281779	green,greenness,viridity	green color or pigment; resembling the color of growing grass
n10749528	5625	veteran,veteran_soldier	a serviceman who has seen considerable active service
n08439126	61290	rain_forest,rainforest	a forest with heavy annual rainfall
n12141495	2518	cereal,cereal_grass	grass whose starchy grains are used as food: wheat; rice; rye; oats; maize; buckwheat; millet
n03614007	7080	keyboard	device consisting of a set of keys on a piano or organ or typewriter or typesetting machine or computer or the like
n07884567	68118	alcohol,alcoholic_drink,alcoholic_beverage,intoxicant,inebriant	a liquor or brew containing alcohol as the active agent
n02966193	2557	carousel,carrousel,merry-go-round,roundabout,whirligig	a large, rotating machine with seats for children to ride or amusement
n15168185	15701	midnight	12 o'clock at night; the middle of the night
n00309906	14893	campaign,hunting_expedition,safari	an overland journey by hunters (especially in Africa)
n08438533	235730	forest,wood,woods	the trees and other plants in a large densely wooded area
n00298161	125419	tourism,touristry	the business of providing services to tourists
n03640660	116697	lane	a well-defined track or path; for e.g. swimmers or lines of traffic
n07990956	3677	flock	a group of birds
n10332385	3097	mother,female_parent	a woman who has given birth to a child (also used as a term of address to your mother)
n07248801	191387	ad,advertisement,advertizement,advertising,advertizing,advert	a public promotion of some product or service
n04285146	63952	sports_equipment	equipment needed to participate in a particular sport
n04103364	47853	rolling_stock	collection of wheeled vehicles owned by a railroad or motor carrier
n02124484	6279	Manx,Manx_cat	a short-haired tailless breed of cat believed to originate on the Isle of Man
n02930766	2462	cab,hack,taxi,taxicab	a car driven by a person whose job is to take passengers where they want to go in exchange for money
n03873699	15840	paddle	a blade of a paddle wheel or water wheel
n04411264	7921	tent,collapsible_shelter	a portable shelter (usually of canvas stretched over supporting poles and fastened to the ground with ropes and pegs)
n07573696	300079	meal,repast	the food served and eaten at one time
n03322099	59135	farm	workplace consisting of farm buildings and cultivated land as a unit
n00295701	42992	travel,traveling,travelling	the act of going from one place to another
n08710535	2848	Bengal	a region whose eastern part is now Bangladesh and whose western part is included in India
n00246754	5033	broil,broiling,grilling	cooking by direct exposure to radiant heat (as over a fire or under a grill)
n15207556	4952	full_moon,full-of-the-moon,full_phase_of_the_moon,full	the time when the Moon is fully illuminated
n07747607	30336	orange	round yellow to orange fruit of any of several citrus trees
n15041050	19185	siding	material applied to the outside of a building to make it weatherproof
n04970916	134697	pink	a light shade of red
n00430606	6411	game	an amusement or pastime
n04968426	2825	bluish_green,blue_green,teal	a blue-green color or pigment
n09393605	86674	plain,field,champaign	extensive tract of level open land
n08252602	32086	party	a group of people gathered together for pleasure
n05319936	2400	iris	muscular diaphragm that controls the size of the pupil which in turn controls the amount of light that enters the eye; it forms the colored portion of the eye
n12310349	22104	lilac	any of various plants of the genus Syringa having large panicles of usually fragrant flowers
n03683995	2742	locket	a small ornamental case; usually contains a picture or a lock of hair and is worn on a necklace
n13809207	2638	part,portion,component_part,component,constituent	something determined in relation to something that includes it
n08613472	224551	outside,exterior	the outer side or surface of something
n03038685	23057	classroom,schoolroom	a room in a school where lessons take place
n08524735	491341	city,metropolis,urban_center	a large and densely populated urban area; may include several independent administrative districts
n04217882	11744	signboard,sign	structure displaying a board on which advertisements can be posted
n04595855	6471	wiring	a circuit of wires for the distribution of electricity
n04019101	142828	public_transport	conveyance for passengers or mail or freight
n09820263	67735	athlete,jock	a person trained to compete in sports
n05560244	94921	limb	one of the jointed appendages of an animal used for locomotion or grasping: arm; leg; wing; flipper
n08308497	143728	conference	a prearranged meeting for consultation or exchange of information or discussion (especially one with a formal agenda)
n11473954	335234	light,visible_light,visible_radiation	(physics) electromagnetic radiation that can produce a visual sensation
n04591713	5829	wine_bottle	a bottle for holding wine
n08253640	9775	banquet,feast	a ceremonial dinner party for many people
n10974592	15937	Ford,Henry_Ford	United States manufacturer of automobiles who pioneered mass production (1863-1947)
n00537682	4431	folk_dancing,folk_dance	a style of dancing that originated among ordinary people (not in the royal courts)
n02846399	1129068	black_and_white,monochrome	a black-and-white photograph or slide
n03446528	5469	golf_course,links_course	course consisting of a large landscaped area for playing golf
n08640531	36566	resort,resort_hotel,holiday_resort	a hotel located in a resort area
n08539072	277826	business_district,downtown	the central area or commercial center of a town or city
n04379243	38831	table	a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs
n08208560	84338	team,squad	a cooperative unit (especially in sports)
n01789740	3555	domestic_fowl,fowl,poultry	a domesticated gallinaceous bird thought to be descended from the red jungle fowl
n01621127	3296	owl,bird_of_Minerva,bird_of_night,hooter	nocturnal bird of prey with hawk-like beak and claws and large head with front-facing eyes
n09901143	2842	catcher,backstop	(baseball) the person who plays the position of catcher
n04970059	88728	purple,purpleness	a purple color or pigment
n04314914	14591	step,stair	support consisting of a place to rest the foot while ascending or descending a stairway
n13165815	43760	trunk,tree_trunk,bole	the main stem of a tree; usually covered with bark; the bole is usually the part that is commercially useful for lumber
n03814906	3864	necklace	jewelry consisting of a cord or chain (often bearing gems) worn about the neck as an ornament (especially by women)
n13659162	3870	meter,metre,m	the basic unit of length adopted under the Systeme International d'Unites (approximately 1.094 yards)
n01397497	2579	seaweed	plant growing in the sea, especially marine algae
n00475787	12967	softball,softball_game	a game closely resembling baseball that is played on a smaller diamond and with a ball that is larger and softer
n08248157	21697	orchestra	a musical organization consisting of a group of instrumentalists including string players
n04523525	3917	vault	an arched brick or stone ceiling or roof
n08806897	435075	Rome,Roma,Eternal_City,Italian_capital,capital_of_Italy	capital and largest city of Italy; on the Tiber; seat of the Roman Catholic Church; formerly the capital of the Roman Republic and the Roman Empire
n03049695	375032	closeup	a photograph taken at close range
n15137890	156326	vacation,holiday	leisure time away from work devoted to rest or pleasure
n15052970	7725	stain	(microscopy) a dye or other coloring material that is used in microscopy to make structures visible
n03180011	3622	desktop_computer	a personal computer small enough to fit conveniently in an individual workspace
n05546040	3419	jaw	the part of the skull of a vertebrate that frames the mouth and holds the teeth
n12102133	218909	grass	narrow-leaved green herbage: grown as lawns; used as pasture for grazing animals; cut and dried as hay
n12039743	6289	Orchidaceae,family_Orchidaceae,orchid_family	enormous cosmopolitan family of perennial terrestrial or epiphytic plants with fleshy tubers or rootstocks and unusual flowers
n09388023	2845	pebble	a small smooth rounded rock
n07889510	5766	ale	a general name for beer made with a top fermenting yeast; in some of the United States an ale is (by law) a brew of more than 4% alcohol by volume
n02008041	5029	heron	grey or white wading bird with long neck and long legs and (usually) long bill
n07576182	5222	buffet	a meal set out on a buffet at which guests help themselves
n00429048	168502	entertainment,amusement	an activity that is diverting and that holds the attention
n03336459	15103	figurine,statuette	a small carved or molded figure
n04394630	24945	tarmacadam,tarmac,macadam	a paved surface having compressed layers of broken rocks held together with tar
n08211290	24215	military_police,MP	a military corps that enforces discipline and guards prisoners
n09270735	3925	dune,sand_dune	a ridge of sand created by the wind; found in deserts or near lakes and oceans
n07449676	3823	rave	a dance party that lasts all night and electronically synthesized music is played
n07574923	16737	brunch	combination breakfast and lunch; usually served in late morning
n08553535	249830	residential_district,residential_area,community	a district where people live; occupied primarily by private residences
n04011827	4720	propeller,propellor	a mechanical device that rotates to push against air or water
n02374451	20102	horse,Equus_caballus	solid-hoofed herbivorous quadruped domesticated since prehistoric times
n04105068	63317	roof	a protective covering that covers or forms the top of a building
n00607542	9839	cabinetwork,cabinetry	the craft of making furniture (especially furniture of high quality)
n09319456	10945	isle,islet	a small island
n03178782	180305	design,pattern,figure	a decorative or artistic work
n08617963	43749	peak,crown,crest,top,tip,summit	the top or extreme point of something (usually a mountain or hill)
n07303335	5449	bonfire,balefire	a large outdoor fire that is lighted as a signal or in celebration
n03133538	6897	crockery,dishware	tableware (eating and serving dishes) collectively
n06646243	108604	sign,mark	a perceptible indication of something not immediately apparent (as a visible clue that something has happened)
n00290579	20054	march,marching	the act of marching; walking with regular steps (especially in a procession of some kind)
n01048697	126900	presentation	the activity of formally presenting something (as a prize or reward)
n09289331	5802	glacier	a slowly moving mass of ice
n02788148	11377	bannister,banister,balustrade,balusters,handrail	a railing at the side of a staircase or balcony to prevent people from falling
